,Unnamed: 0,Name,id,likes,date,posts,retweets
113,13,Lakers,20346956,387,2019-03-05 05:18:33,"💛➕1️⃣

#LakeShow back in front after seven unanswered points capped by Hart's and-1.",44
114,14,Lakers,20346956,589,2019-03-05 05:12:55,"Lefty layup by Rondo

#LakeShow (📺: @SpectrumSN &amp; NBA TV) https://t.co/BmZ0wvC7pc",96
115,15,Lakers,20346956,475,2019-03-05 04:43:54,"Vets leading the way at the break. 

James: 17 pts
Rondo: 11 pts, 6 reb, 6 ast https://t.co/tXwQBvwHlL",85
116,16,Lakers,20346956,0,2019-03-05 04:40:05,"RT @LakersReporter: Alex Caruso, who has played a total of 4 minutes since a 12-minute stretch against Golden State on Jan. 21, just checke…",33
117,17,Lakers,20346956,1282,2019-03-05 04:40:00,Gold Rush #LakeShow https://t.co/RqJcy1FfZd,250
118,18,Lakers,20346956,0,2019-03-05 04:36:37,RT @LakerGirls: Team huddle! #LakeShow https://t.co/sGhFSY5Igg,33
119,19,Lakers,20346956,0,2019-03-05 04:36:03,RT @LosLakers: Hoy nos acompaña el @Canelo 🇲🇽🥊 https://t.co/vhkOC11asT,375
120,20,Lakers,20346956,1482,2019-03-05 04:31:24,"Nice backdoor cut by LeBron for the easy flush

#LakeShow (📺: @SpectrumSN &amp; NBA TV) https://t.co/yuIayPrhlP",227
121,21,Lakers,20346956,699,2019-03-05 04:27:29,"Not on JaVale's watch!

#LakeShow (📺: @SpectrumSN &amp; NBA TV) https://t.co/6x3r6n4rqu",130
122,22,Lakers,20346956,3222,2019-03-05 04:25:34,🚀🚀🚀 https://t.co/49zhqhTzyt,426
123,23,Lakers,20346956,726,2019-03-05 04:16:13,First quarter views https://t.co/ZXJwm62Stj,132
124,24,Lakers,20346956,643,2019-03-05 04:13:27,Kuz with 11 in the first for the #LakeShow lead. https://t.co/a409edHHIU,135
125,25,Lakers,20346956,0,2019-03-05 04:11:35,"RT @LakersReporter: Clippers have been defending LeBron with smaller players all quarter (Beverley, Temple), and the result has been a FT p…",70
